team_id,player_id,player_name,position,minutes_played,goals_scored,minutes_per_goal
55,153066,Fábio Carvalho,Midfielder,444,2,222.0
55,25073,V. Janelt,Midfielder,2287,1,2287.0
55,47438,M. Jensen,Midfielder,853,0,
55,427736,Gustavo Gomes,Attacker,11,0,
55,196156,Thiago,Attacker,174,0,
55,382925,R. Trevitt,Midfielder,3,0,
55,18917,B. Mee,Defender,179,0,
55,19362,J. Dasilva,Midfielder,0,0,
55,19974,I. Toney,Attacker,0,0,
57,19130,K. Phillips,Midfielder,1239,0,
57,161948,L. Delap,Attacker,2612,12,217.7
57,70747,J. Enciso,Midfielder,878,2,439.0
57,284428,O. Hutchinson,Attacker,2594,3,864.7
57,19182,A. Tuanzebe,Defender,1717,0,
57,18823,B. Johnson,Defender,1366,1,1366.0
57,2752,M. Luongo,Midfielder,195,0,
57,126791,N. Broadhead,Attacker,697,2,348.5
57,20007,C. Chaplin,Attacker,869,1,869.0
57,326763,C. Humphreys,Midfielder,0,0,
57,299813,Ali Al Hamadi,Attacker,144,0,
57,20167,J. Donacien,Defender,0,0,
57,19541,C. Walton,Goalkeeper,630,0,
57,127579,J. Greaves,Defender,2205,1,2205.0
57,19119,L. Davis,Defender,2746,1,2746.0
57,138836,H. Clarke,Defender,377,0,
57,18397,J. Taylor,Midfielder,846,1,846.0
57,19152,C. Townsend,Defender,342,0,
57,15797,J. Cajuste,Midfielder,1978,1,1978.0
57,17579,S. Szmodics,Attacker,1001,4,250.2
57,8794,G. Hirst,Attacker,649,3,216.3
57,138931,J. Philogene,Attacker,474,2,237.0
57,20089,W. Burns,Attacker,933,0,
57,19365,C. Ogbene,Attacker,240,0,
57,19558,Sam Morsy,Midfielder,2755,1,2755.0
57,616,A. Murić,Goalkeeper,1620,0,
65,24882,O. Mangala,Midfielder,0,0,
65,47547,Álex Moreno,Defender,959,0,
65,10373,Carlos Miguel,Goalkeeper,0,0,
65,18739,W. Boly,Defender,146,0,
65,363695,Murillo,Defender,3191,2,1595.5
65,2771,O. Aina,Defender,3002,2,1501.0
65,22149,I. Sangaré,Midfielder,597,0,
65,6056,N. Domínguez,Midfielder,1970,0,
65,19305,R. Yates,Midfielder,1905,2,952.5
65,138908,E. Anderson,Midfielder,2742,2,1371.0
65,18746,M. Gibbs-White,Midfielder,2822,7,403.1
65,380492,Eric Emanuel da Silva Moreira,Attacker,28,0,
65,2298,C. Hudson-Odoi,Attacker,2218,5,443.6
65,8598,T. Awoniyi,Attacker,477,1,477.0
65,18931,C. Wood,Attacker,2978,20,148.9
65,2938,J. Ward-Prowse,Midfielder,399,0,
65,50999,M. Turner,Goalkeeper,0,0,
65,275170,Danilo Santos,Midfielder,293,0,
66,284500,T. Iroegbunam,Midfielder,0,0,
66,329347,O. Kellyman,Midfielder,0,0,
66,19192,J. Ramsey,Midfielder,1631,1,1631.0
66,19599,E. Martínez,Goalkeeper,3196,0,
66,19354,E. Konsa,Defender,2937,2,1468.5
66,19179,T. Mings,Defender,1121,0,
66,19298,M. Cash,Defender,2077,1,2077.0
66,47547,Álex Moreno,Defender,0,0,
66,889,V. Lindelöf,Defender,725,0,
66,46815,Pau Torres,Defender,2020,0,
66,1904,B. Kamara,Midfielder,1735,1,1735.0
66,19191,J.  McGinn,Midfielder,2247,1,2247.0
66,162714,A. Onana,Midfielder,1631,3,543.7
66,2287,R. Barkley,Midfielder,566,3,188.7
66,2926,Y. Tielemans,Midfielder,3032,3,1010.7
66,19170,M. Rogers,Attacker,3129,8,391.1
66,983,L. Bailey,Attacker,1151,1,1151.0
66,138931,J. Philogene,Attacker,325,0,
66,21998,A. Disasi,Defender,488,0,
66,909,M. Rashford,Attacker,441,2,220.5
